stationNumber;platform;trackNumber;trackName;length;height
119;B01;1;Gleis 1;140;76
119;B02;2;Gleis 2;170;76
201;B01;1;Gleis 1;190;38
201;B02;2;Gleis 2;190;34
201;B02;3;Gleis 3;190;34
230;B01;1;Gleis 1;158;20
238;B01;1;Gleis 1;140;76
238;B01;2;Gleis 2;140;76
238;B02;3;Gleis 3;125;55
238;B02;4;Gleis 4;125;55
3564;B01;1;Gleis 1;120;55
292;B01;1;Gleis 1;120;55
292;B02;2;Gleis 2;120;55
6989;B01;1;Gleis 1;120;55
2753;B02;2;Gleis 2;184;18
488;B01;1;Gleis 1;275;76
488;B01;2;Gleis 2;275;76
488;B02;3;Gleis 3;210;76
488;B02;4;Gleis 4;169;55
489;B01;1;Gleis 1;236;38
489;B02;2;Gleis 2;276;38
489;B02;3;Gleis 3;276;38
614;B01;1;Gleis 1;186;38
614;B02;2;Gleis 2;210;76
614;B02;3;Gleis 3;210;76
614;B03;4;Gleis 4;254;38
614;B03;5;Gleis 5;254;38
618;B01;1;Gleis 1;264;14
618;B02;2;Gleis 2;269;20
618;B02;3;Gleis 3;269;20
619;B01;1;Gleis 1;247;38
619;B01;2;Gleis 2;247;38
619;B02;3;Gleis 3;196;38
721;B01;1;Gleis 1;220;38
721;B02;2;Gleis 2;210;76
1002;B01;1;Gleis 1;157;38
1002;B02;2;Gleis 2;106;34
7177;B01;1;Gleis 1;220;55
7177;B02;2;Gleis 2;210;76
1126;B01;1;Gleis 1;291;85
1126;B02;3;Gleis 3;257;96
1126;B02;4;Gleis 4;257;96
1126;B03;5;Gleis 5;443;76
1126;B03;6;Gleis 6;443;76
1126;B04;7;Gleis 7;299;76
1126;B04;8;Gleis 8;299;76
1126;B05;9;Gleis 9;436;76
1126;B05;10;Gleis 10;436;76
1126;B06;11;Gleis 11;409;76
1126;B06;12;Gleis 12;409;76
1127;B01;1;Gleis 1;187;76
1127;B01;2;Gleis 2;187;76
1127;B02;3;Gleis 3;197;76
1127;B02;4;Gleis 4;197;76
1128;B01;1;Gleis 1;120;55
1128;B02;2;Gleis 2;157;76
1129;B01;1;Gleis 1;240;55
1129;B01;2;Gleis 2;240;55
1131;B01;1;Gleis 1;210;20
1131;B02;2;Gleis 2;214;14
1131;B02;3;Gleis 3;214;38
1132;B01;1;Gleis 1;177;20
1132;B02;2;Gleis 2;165;14
7161;B01;1;Gleis 1;120;55
1194;B01;1;Gleis 1;170;55
1194;B02;2;Gleis 2;170;55
1194;B02;3;Gleis 3;170;55
1194;B03;4;Gleis 4;126;55
1194;B03;5;Gleis 5;126;55
945;B01;41;Gleis 1;120,8;55
945;B02;43;Gleis 2;211;96
945;B02;44;Gleis 3;211;96
1338;B01;1;Gleis 1;120;55
2221;B01;1;Gleis 1;120;55
