id;DS100;name;VERKEHR;longitude;latitude
8000001;KA;Aachen Hbf;FV;6.091499;50.7678
8070704;KASZ;Aachen Schanz;RV;6.07384;50.769862
8000404;KAW;Aachen West;RV;6.070715;50.78036
8000406;KAREP;Aachen-Rothe Erde;RV;6.116475;50.770202
8000002;TA;Aalen;FV;10.096271;48.841013
8007826;KAB;Abenden;nur DPN;6.476459;50.671085
8000410;MABG;Abensberg;nur DPN;11.84662;48.819456
8000412;RAH;Achern;RV;8.065324;48.63399
8007001;RAHS;Achern Stadt;nur DPN;8.067706;48.625736
8000413;HACH;Achim;RV;9.030447;53.01599
8007291;RAK;Achkarren;nur DPN;7.60787;48.060088
8000414;HAMR;Achmer;nur DPN;7.94216;52.390479
8000416;AACW;Achterwehr;RV;9.964024;54.314913
8000418;HADB;Adelebsen;nur DPN;9.760044;51.57769
8000419;MAD;Adelschlag;RV;11.211443;48.840759
8000420;NADM;Adelsdorf(Mittelfr);RV;10.687041;49.474944
8000423;RADN;Adelsheim Nord;RV;9.392754;49.42149
8000424;TAD;Adelsheim Ost;RV;9.395127;49.403123
8011002;DADO;Adorf(Erzgeb);nur DPN;12.873666;50.76385
8010001;DAD;Adorf(Vogtl);nur DPN;12.260789;50.323926
8000431;TAF;Affaltrach;RV;9.379012;49.137832
8000433;MAGD;Agatharied;nur DPN;11.824472;47.765606
8000434;AABG;Agathenburg;RV;9.531244;53.564111
8007445;RAG;Aglasterhausen;RV;8.990838;49.350097
8000436;RA;Aha;RV;8.134349;47.833224
8000437;EAHS;Ahaus;RV;7.016453;52.081681
8079084;WABG;Ahlbeck Grenze;nur DPN;14.215549;53.921966
8087025;WABO;Ahlbeck Ostseetherme;nur DPN;14.177287;53.944426
8000441;EAHL;Ahlen(Westf);RV;7.895488;51.761062
8000442;HAHO;Ahlhorn;nur DPN;8.209429;52.899321
8000443;HALT;Ahlten;RV;9.904613;52.376062
8000457;FATC;Ahnatal Casselbreite;RV;9.434061;51.36286
8002675;FHEH;Ahnatal-Heckershausen;RV;9.422727;51.362991
8006286;FWEI;Ahnatal-Weimar;RV;9.391588;51.363629
8001209;KBRU;Ahrbrück;RV;6.972391;50.489679
8000446;AAHR;Ahrensburg;RV;10.236206;53.669171
8000480;AAHG;Ahrensburg-Gartenholz;RV;10.251786;53.688482
8011003;BAHR;Ahrensfelde;RV;13.565154;52.571375
8011004;BAFR;Ahrensfelde Friedhof;nur DPN;13.573316;52.580882
8011005;BAFN;Ahrensfelde Nord;nur DPN;13.581985;52.590685
8000448;KAH;Ahrweiler;RV;7.107071;50.546544
8000449;KAHM;Ahrweiler Markt;RV;7.094229;50.544228
8000451;MAIC;Aich(Niederbay);RV;12.398163;48.417315
8000452;MAI;Aichach;nur DPN;11.122721;48.461117
8000454;TAI;Aichstetten;RV;10.07494;47.887884
8072132;MAID;Aindorf;nur DPN;12.357742;47.987042
8000459;MAIN;Ainring;FV;12.964501;47.815033
8000463;RAL;Albbruck;RV;8.131774;47.592235
8000464;AAL;Albersdorf;nur DPN;9.292151;54.14632
8000466;RAR;Albersweiler(Pfalz);RV;8.024464;49.21847
8000468;FAG;Albig;RV;8.116579;49.771375
8070252;FALH;Albisheim(Pfrimm);RV;8.096752;49.644776
8017000;LALB;Albrechtshaus;nur DPN;10.929267;51.642173
8080040;BAS;Albrechtshof;RV;13.128917;52.549396
8000471;FALS;Albshausen;nur DPN;8.434869;50.545716
8070096;RAM;Albsheim(Eis);RV;8.178998;49.580683
8000473;TAE;Albstadt-Ebingen;RV;9.026962;48.21029
8079089;TAEW;Albstadt-Ebingen West;nur DPN;8.996926;48.211507
8000474;TALO;Albstadt-Laufen Ort;nur DPN;8.917316;48.222859
8000475;TALT;Albstadt-Lautlingen;nur DPN;8.95462;48.213638
8000477;KALK;Aldekerk;nur DPN;6.412542;51.435759
8000481;TALD;Aldingen(b Spaichingen);RV;8.713033;48.095845
8000482;MALH;Aletshausen;RV;10.383631;48.201313
8017001;LAX;Alexisbad;nur DPN;11.115311;51.648132
8000483;HALF;Alfeld(Leine);FV;9.817779;51.981417
8000495;KALI;Alfter-Impekoven;RV;7.019831;50.711016
8006516;KWIS;Alfter-Witterschlick;RV;7.026083;50.689698
8000488;HALG;Algermissen;RV;9.966472;52.25188
8000489;HALI;Aligse;RV;9.979349;52.403462
8000492;FADD;Allendorf(Dillkr);nur DPN;8.185486;50.743811
8000496;RAB;Allensbach;RV;9.068852;47.714464
8000498;NALB;Allersberg(Rothsee);RV;11.212573;49.262131
8000499;TALL;Allmendingen;RV;9.722382;48.327734
8000500;KALP;Alpen;nur DPN;6.518161;51.583295
8000501;RALP;Alpirsbach;nur DPN;8.398251;48.343809
8000510;KADP;Alsdorf Poststraße;RV;6.197075;50.855749
